AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,has_outliers
83.0,61.0,51.0,78.0,68.0,12.0,12.0,49.0,34.0,40.0,153.0,80.0,126.0,1.04,0.84,True
58.0,38.0,37.0,65.0,66.0,10.0,16.0,35.0,33.0,25.0,87.0,45.0,64.0,0.75,0.8,False
30.0,18.0,22.0,30.0,37.0,7.0,8.0,24.0,19.0,12.0,66.0,35.0,59.0,0.83,1.0,False
171.0,130.0,105.0,191.0,151.0,24.0,22.0,75.0,55.0,30.0,103.0,37.0,86.0,1.07,0.9,False
45.0,21.0,32.0,45.0,70.0,20.0,28.0,30.0,32.0,23.0,73.0,43.0,64.0,0.82,0.89,True
69.0,46.0,42.0,88.0,72.0,22.0,21.0,53.0,38.0,16.0,93.0,39.0,71.0,1.27,1.39,False
159.0,121.0,120.0,150.0,151.0,20.0,31.0,72.0,66.0,5.0,70.0,13.0,40.0,2.82,2.72,True
68.0,39.0,50.0,85.0,81.0,22.0,43.0,61.0,54.0,14.0,80.0,34.0,70.0,0.77,1.07,True
23.0,11.0,40.0,23.0,84.0,11.0,26.0,23.0,32.0,45.0,71.0,56.0,65.0,0.36,0.92,True
53.0,22.0,36.0,55.0,73.0,25.0,20.0,23.0,25.0,49.0,65.0,48.0,58.0,1.03,0.85,False
56.0,19.0,37.0,62.0,74.0,8.0,15.0,24.0,25.0,44.0,61.0,49.0,53.0,0.67,1.02,False
47.0,19.0,35.0,47.0,76.0,14.0,28.0,18.0,33.0,46.0,63.0,45.0,53.0,0.6,1.25,True
31.0,12.0,72.0,31.0,125.0,11.0,40.0,12.0,47.0,59.0,73.0,59.0,59.0,0.66,1.62,True
58.0,41.0,40.0,58.0,55.0,11.0,17.0,23.0,29.0,53.0,66.0,46.0,60.0,0.7,0.88,False
70.0,51.0,34.0,75.0,55.0,20.0,46.0,23.0,26.0,36.0,52.0,35.0,45.0,1.24,0.68,True
65.0,47.0,43.0,58.0,58.0,22.0,14.0,35.0,35.0,38.0,65.0,31.0,51.0,0.73,0.65,False
104.0,78.0,69.0,91.0,83.0,11.0,20.0,33.0,34.0,33.0,54.0,37.0,48.0,0.73,0.83,False
154.0,118.0,82.0,147.0,109.0,13.0,13.0,71.0,60.0,4.0,41.0,6.0,33.0,1.52,1.02,False
151.0,116.0,72.0,151.0,98.0,11.0,13.0,66.0,58.0,3.0,39.0,5.0,33.0,1.55,0.93,False
115.0,87.0,73.0,119.0,105.0,10.0,12.0,69.0,61.0,19.0,82.0,32.0,63.0,0.94,0.9,False
89.0,66.0,57.0,99.0,86.0,8.0,7.0,52.0,38.0,25.0,97.0,57.0,84.0,0.81,0.7,False
160.0,122.0,89.0,187.0,142.0,20.0,15.0,93.0,66.0,3.0,51.0,15.0,37.0,2.66,1.6,True
123.0,93.0,90.0,130.0,125.0,16.0,16.0,68.0,60.0,13.0,77.0,29.0,58.0,0.98,0.88,False
88.0,65.0,61.0,113.0,107.0,19.0,21.0,60.0,50.0,22.0,84.0,33.0,63.0,1.28,1.25,False
69.0,47.0,77.0,88.0,138.0,9.0,10.0,37.0,52.0,54.0,88.0,54.0,73.0,0.7,0.88,False
96.0,72.0,92.0,100.0,119.0,11.0,14.0,65.0,58.0,8.0,78.0,25.0,56.0,1.15,1.4,False
176.0,133.0,106.0,143.0,122.0,6.0,6.0,40.0,39.0,21.0,84.0,50.0,73.0,1.22,0.9,False
135.0,103.0,92.0,129.0,119.0,12.0,13.0,51.0,46.0,66.0,111.0,78.0,92.0,1.02,0.97,False
166.0,126.0,93.0,167.0,121.0,10.0,9.0,76.0,50.0,25.0,130.0,60.0,99.0,1.1,1.08,False
163.0,124.0,111.0,123.0,107.0,10.0,11.0,55.0,37.0,30.0,113.0,73.0,98.0,1.4,1.2,False
81.0,60.0,68.0,78.0,82.0,3.0,3.0,30.0,23.0,14.0,55.0,25.0,46.0,1.03,0.9,False
75.0,55.0,49.0,56.0,53.0,6.0,6.0,28.0,20.0,39.0,69.0,48.0,62.0,0.82,0.78,False
39.0,27.0,56.0,38.0,71.0,9.0,10.0,15.0,20.0,41.0,65.0,52.0,60.0,0.77,0.93,False
44.0,31.0,28.0,33.0,30.0,7.0,10.0,15.0,14.0,37.0,60.0,42.0,54.0,0.69,0.59,False
35.0,19.0,15.0,35.0,30.0,4.0,4.0,7.0,7.0,87.0,93.0,85.0,89.0,0.47,0.5,False
94.0,70.0,60.0,91.0,76.0,6.0,6.0,47.0,37.0,18.0,74.0,37.0,58.0,0.95,0.82,False
85.0,63.0,61.0,76.0,74.0,7.0,8.0,44.0,30.0,19.0,94.0,56.0,81.0,0.82,0.76,False
55.0,37.0,40.0,59.0,60.0,25.0,29.0,54.0,45.0,16.0,113.0,49.0,81.0,2.0,2.28,True
115.0,87.0,64.0,99.0,71.0,8.0,8.0,52.0,32.0,20.0,97.0,59.0,85.0,0.93,0.82,False
121.0,92.0,78.0,106.0,94.0,7.0,7.0,52.0,35.0,33.0,100.0,60.0,85.0,0.85,0.82,False
91.0,68.0,62.0,84.0,72.0,3.0,3.0,51.0,40.0,29.0,85.0,59.0,74.0,0.75,0.7,False
109.0,82.0,70.0,96.0,88.0,5.0,4.0,21.0,29.0,22.0,69.0,33.0,52.0,0.84,0.9,False
74.0,54.0,36.0,75.0,48.0,22.0,14.0,38.0,22.0,15.0,85.0,40.0,78.0,0.92,0.7,False
54.0,38.0,19.0,51.0,27.0,8.0,8.0,28.0,19.0,8.0,99.0,39.0,85.0,1.3,0.72,False
219.0,169.0,143.0,180.0,139.0,12.0,9.0,42.0,41.0,57.0,97.0,67.0,82.0,1.47,1.33,True
105.0,79.0,79.0,95.0,98.0,13.0,15.0,41.0,37.0,29.0,102.0,45.0,80.0,0.9,0.93,False
73.0,53.0,36.0,65.0,57.0,9.0,8.0,51.0,34.0,4.0,89.0,31.0,70.0,1.57,1.27,False
104.0,78.0,70.0,90.0,88.0,6.0,8.0,42.0,37.0,19.0,79.0,35.0,61.0,0.9,0.97,False
180.0,136.0,105.0,159.0,132.0,15.0,14.0,61.0,61.0,19.0,77.0,28.0,55.0,1.23,1.17,False
55.0,27.0,27.0,60.0,62.0,133.0,47.0,26.0,24.0,51.0,81.0,62.0,71.0,0.7,0.85,True
61.0,32.0,22.0,72.0,46.0,10.0,14.0,63.0,34.0,6.0,81.0,42.0,69.0,0.63,0.6,False
57.0,28.0,51.0,64.0,103.0,17.0,29.0,34.0,38.0,26.0,81.0,35.0,62.0,0.68,1.26,True
153.0,95.0,76.0,255.0,235.0,8.0,8.0,43.0,43.0,23.0,49.0,26.0,34.0,1.12,1.12,True
101.0,54.0,57.0,152.0,177.0,2.0,3.0,53.0,39.0,24.0,80.0,49.0,69.0,0.67,0.6,False
,,,,,,,,,,,,,,,False
144.0,110.0,76.0,154.0,126.0,24.0,27.0,76.0,54.0,5.0,80.0,29.0,71.0,1.5,1.1,True
,,,,,,,,,,,,,,,False
89.0,66.0,23.0,110.0,52.0,15.0,10.0,67.0,46.0,23.0,88.0,38.0,80.0,1.3,1.0,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,False
103.0,77.0,66.0,107.0,86.0,10.0,9.0,61.0,41.0,30.0,112.0,61.0,98.0,1.07,0.7,False
111.0,84.0,92.0,119.0,119.0,10.0,12.0,62.0,54.0,20.0,89.0,40.0,76.0,0.97,0.93,False
