ÀÆ÷ ¿‡±,ÀÆŒ¬(°Ê),pH(Œﬁ¡ø∏Ÿ),»‹Ω‚—ı(mg/L),µÁµº¬ (¶ÃS/cm),◊«∂»(NTU),∏ﬂ√ÃÀ·—Œ÷∏ ˝(mg/L),∞±µ™(mg/L),◊‹¡◊(mg/L),◊‹µ™(mg/L)
¢Ò,17.7,6.95,7.65,119.1,3.9,0.87,0.08,0.012,0.87
¢Ù,13.1,6.79,4.6,118.2,4.2,3.07,0.265,0.061,2.02
¢Ú,16.3,7.15,8.68,203.2,2.2,1.05,0.128,0.099,2.9
¢Ú,18.5,6.93,6.01,167.7,2.4,1.28,0.025,0.019,1.69
¢Û,16.2,6.65,6.79,178.2,22.3,1.82,0.604,0.096,4.86
¢Û,16.3,7.01,5.96,165.7,4.6,1.25,0.253,0.134,3.88
¢Ú,15.4,6.96,8.91,186.7,24.7,1.28,0.113,0.044,1.73
¢Û,17.9,7.18,10.84,234.4,1.2,1.52,0.048,0.11,2.36
¢Û,15.7,6.66,5.46,318.8,11.8,1.88,0.194,0.14,14.63
¢Ú,16,7.31,9.25,206.6,53.7,1.33,0.045,0.064,1.93
¢Ú,17.8,6.78,7.29,421.7,10.9,3.91,0.062,0.079,4.42
¢Û,16.3,7.43,5.93,3150.1,121.4,4.18,0.387,0.134,5.08
¢Ú,17.3,7.4,7.57,258,6.8,3.25,0.126,0.099,4.09
¢Ú,18.3,6.68,8.49,1654.5,8.2,1.86,0.06,0.096,4.53
¢Û,13.8,7.05,6.83,354.7,8.4,2.46,0.335,0.101,2.68
¢Ú,13,6.86,8.4,127.8,10.1,1.4,0.21,0.087,2.2
¢Ú,11.6,6.96,10.55,188.7,5.3,1.18,0.132,0.091,2.1
¢Ú,12.6,7.26,10.66,73.7,11.3,0.9,0.031,0.048,1.2
¢Ú,12,6.58,10.23,74.1,26.4,1.03,0.199,0.042,1.5
¢Ú,13.5,7.06,8.64,131.9,10.6,1.36,0.368,0.037,1.85
¢Ú,14,6.89,8.71,79.4,5.9,1.44,0.025,0.028,0.87
¢Ú,11.4,6.85,10.67,129.6,6,1.78,0.142,0.058,1.69
¢Ú,12.2,7.31,9.32,116.6,5.9,2.66,0.168,0.061,1.9
¢Ú,10.5,7.41,8.91,124.6,8.7,1.46,0.026,0.029,1.46
¢Ú,11.4,7.35,11.25,255.2,9.2,1.94,0.025,0.074,2.24
¢Ú,12.9,7.65,11.82,178,15,2.04,0.025,0.059,1.54
¢Ú,20.1,7.28,9.25,68.2,146.5,2.08,0.149,*,*
¢Û,14.2,7.15,8.57,5400.2,194.4,2.99,0.315,0.158,2.83
¢Û,14.7,6.58,8.69,1360.4,2.9,0.55,0.661,0.036,1.44
¢Ú,12.7,7.53,10.66,61.2,11.9,1,0.025,0.056,1.44
¢Ú,16.7,7.07,7.86,146.4,12.5,2.01,0.036,0.066,2.08
¢Ú,13.6,6.75,9.53,45.3,16.9,1.02,0.053,0.084,1.33
¢Ú,9.3,7.07,10.93,151.7,41.6,2.44,0.077,0.042,2.24
¢Û,10.8,7.81,11.18,199.1,21.7,4.61,0.03,0.034,1.83
¢Ú,8,7.17,10.58,254.3,27.5,3.45,0.448,0.086,3.89
¢Ú,11.3,6.78,9.54,252.4,42.3,1.86,0.044,0.021,1.86
¢Ú,10.2,7.57,12.02,266.1,1015.8,2.34,0.309,0.042,3.18
¢Ú,9,7.35,11.54,162.9,34.1,2.04,0.044,0.041,2.49
¢Û,10.4,7.72,10.59,166.5,9.2,3.19,0.167,0.109,1.86
¢Ú,13.1,7.54,9.8,415.7,45.4,2.62,0.361,0.062,3.46
¢Û,11.2,7.23,9.82,1470.5,6.1,2.64,0.518,0.029,2.39
¢Ú,11.7,7.24,10.45,763.5,4.7,1.7,0.266,0.005,2.46
¢Û,12.1,6.74,7.43,273.4,28.7,1.71,0.811,0.136,2.51
¢Ò,10.1,7.84,11.16,125.8,3.1,1.81,0.025,0.005,1.16
¢Ú,9.8,7.79,9.86,513.7,3,3.1,0.372,0.025,1.54
¢Û,8.5,7.68,11.38,484.9,4.5,1.77,0.732,0.088,5.06
¢Ú,11.4,7.46,8.29,460.3,4.7,1.96,0.184,0.055,4.24
¢Ú,12.3,7.48,9.07,315.9,9.1,1.2,0.07,0.051,2.01
¢Ú,8.8,7.97,8.36,548.9,30.6,1.2,0.158,0.066,3.04
¢Ú,9.5,6.67,11.16,256.4,41.7,2.41,0.142,0.055,2.67
¢Ú,13.1,8.26,9.39,403.1,22,1.77,0.044,0.076,2.45
¢Ú,13.1,8.3,9.42,386.3,39.4,1.14,0.027,0.081,1.72
¢Û,7.8,6.96,11.37,274.4,39,2.34,0.143,0.031,2.7
¢Ú,9.8,7.3,11.25,172.3,13,1.25,0.103,0.028,0.93
¢Ò,12.6,7.41,8.21,110.5,0.9,1.49,0.025,0.005,0.6
¢Ò,13.5,7.21,7.7,377.5,0.7,0.25,0.025,0.005,0.55
¢Û,6,7.42,11.32,140.8,98,4.7,0.137,0.088,3.23
¢ı,10.1,7.6,9.9,526.9,16.8,4.2,1.72,0.222,5.31
¢Ú,10.7,7.88,10.11,303.8,20.3,3.89,0.244,0.066,2.28
¢Ù,10.7,8.38,10.52,314.6,3.6,4.85,0.106,0.074,2.04
¢Ú,13.6,7.45,8.1,358.5,13.1,3.42,0.332,0.03,1.99
¢Ú,11.1,7.37,10.53,224.8,6.6,1.58,0.124,0.061,2.58
¢Ú,11.2,7.25,10.48,107.3,15.3,2.52,0.092,0.028,1.56
¢Ú,10.4,7.28,10.71,213.2,4.7,2.04,0.123,0.052,1.79
¢Ú,14.8,7.66,9.1,269.9,1.2,2.92,0.025,0.043,2.61
¢Ú,12,7.31,10.2,202.8,8.1,1.43,0.131,0.06,2.23
¢Ú,12.8,7.69,9.69,184,10.3,2.19,0.025,0.069,2.44
¢Ú,11,7.46,8.68,129.9,1.8,1.16,0.027,0.066,2.11
¢Ú,11.6,7.5,10.23,124,5.7,0.75,0.05,0.039,1.41
¢Ò,11,7.54,10.59,139.8,51.6,1.21,0.069,0.014,1.2
¢Ú,12.6,7.79,9.84,153.7,3.9,2.04,0.037,0.014,0.71
¢Ò,12.2,8.89,12.11,253.1,10,1.94,0.025,0.013,1.06
¢Ú,12.4,7.45,8.59,277.5,15,1.3,0.039,0.028,2.95
¢Ú,11.8,7.54,9.35,87.3,54.2,0.5,0.038,0.081,0.86
¢Ú,11.5,7.2,9.29,174.9,78.2,0.66,0.06,0.045,1.09
¢Ò,15,7.77,9.12,117.2,3.3,1.97,0.025,0.005,3.15
¢Ú,11,6.67,9.32,196.8,12.7,1.8,0.072,0.056,2.38
¢Ú,12.1,7.4,10.55,253.1,12,0.67,0.047,0.034,1.85
¢Ú,13.2,7.04,10.29,229.2,11.1,1.52,0.076,0.036,2.1
¢Ú,12.5,8.01,9.81,213.4,9.6,1.67,0.1,0.036,1.28
¢Ú,10.9,7.4,9.36,148.4,2.2,1.68,0.042,0.045,1.98
¢Ú,10.5,7.08,10.78,192,2.7,2.36,0.025,0.058,1.95
¢Ú,11.2,7.68,10.41,211.9,6,1.17,0.073,0.03,1.84
¢Ú,11.2,7.25,9.07,225.4,4.1,2.04,0.025,0.033,1.7
¢Ú,10.9,7.14,10.98,265.6,36,2.77,0.072,0.04,1.84
¢Ú,10.2,7.92,12.9,251.1,2.6,2.47,0.101,0.099,2.18
¢Û,9.9,7.38,10.51,286.5,8.8,3.95,0.104,0.112,2.14
¢Ù,8.9,6.63,8.69,179,13.3,2.03,1.186,0.05,3.27
¢Ú,9.3,7.37,11.35,379.2,19.9,3.22,0.131,0.058,2.17
¢Ò,10.2,6.64,11.13,51.6,0.7,0.84,0.025,0.013,0.76
¢Ú,12.1,7.33,9.66,100.2,3.9,0.56,0.115,0.053,1.41
¢Ú,9.5,7.22,10.54,122.5,14.7,1.97,0.025,0.023,1.61
¢Ú,8.5,7.03,9.39,152.2,4.6,2.53,0.176,0.052,2.46
¢Ú,9,7.22,11.31,138.4,11.2,1.39,0.025,0.053,1.4
¢Ú,9.6,7.53,10.4,136.5,13.8,1.58,0.025,0.027,0.6
¢Û,7.5,6.51,10.51,181.7,33.9,2.21,0.135,0.033,2.54
¢Ù,13,6.63,4.95,210.9,14.8,2.24,0.025,0.025,2.54
¢Ú,10.8,7.53,11.2,182.8,14.5,1.08,0.025,0.036,1.77
¢Ú,9.9,7.54,9.62,359.4,19.8,2.39,0.093,0.026,2.37
¢Ú,13,7.28,9.85,484.7,34.6,1.45,0.227,0.031,2.78
¢Ú,9.1,7.37,10.52,194.8,4.7,1.5,0.175,0.049,1.81
¢Ú,10.9,6.91,9.61,290.3,30.2,1.96,0.126,0.063,3.42
¢Ú,10.4,7.45,11.3,198,10.2,1.52,0.107,0.044,2.22
¢Ú,10.1,6.81,10.58,241,7.4,2.25,0.273,0.083,2.43
¢Ú,7.7,8.27,11.98,991.1,33.2,1.65,0.057,0.057,8
¢Û,7.5,8.22,14.51,2671.1,7.7,4.33,0.069,0.005,2.21
¢Ú,2.3,8.48,16.77,1006.4,271,2.47,0.13,0.068,3.14
¢Ú,4.8,8.22,20.38,762.1,8.5,2.59,0.043,0.037,5.72
¢Ò,4.3,8.31,11.6,612.2,5.1,1.18,0.052,0.007,6.99
¢Û,2.7,8.63,14.95,1148.6,1.2,4.32,0.025,0.03,12.27
¢Ú,4,7.71,11.9,188,1.7,2.48,0.025,0.01,3.1
¢Ú,2,8.07,11.53,1076.1,5.2,1.66,0.045,0.021,31.69
¢Ú,2.6,8.16,11.95,387.6,2.2,3.31,0.247,0.016,1.99
¢Û,4.8,8,14.05,2147.2,3.6,5.72,0.134,0.078,10.39
¢Ò,2.4,7.88,12.85,944.8,1.3,1.34,0.025,0.014,27.13
¢Ú,4.4,8.16,12.66,928.5,43.2,3.9,0.025,0.074,2.77
¢Û,3.5,8.03,10.56,2256.5,9.6,4.13,0.237,0.096,11.3
¢Û,5.5,8.34,13.67,700.1,9.8,2.75,0.381,0.124,17.9
¢Û,5.4,8.21,14.19,916.5,12.9,4.74,0.032,0.023,1.47
¢Û,4.4,7.69,12.69,1752.5,4.5,3.88,0.677,0.065,15.18
¢Ù,6.8,8.51,13.87,6500.7,5.8,8.07,0.352,0.052,1.74
¢Û,4,8.69,17.88,1350.1,24.3,4.96,0.08,0.058,26.25
¢Û,4.5,8.26,13.71,2754.6,28.7,4.45,0.434,0.199,10.75
¢Û,5.4,7.77,14.59,1538.9,4.1,3.84,0.118,0.13,10.58
¢Ú,6.1,8.18,14.84,1575.5,10.9,1.82,0.146,0.044,23.66
¢Û,4.1,6.96,16.58,544.1,20.3,5.11,0.172,0.085,3.53
¢Û,3.5,6.82,11.82,1526.5,26.2,4.63,0.061,0.053,1.73
¢Ú,7.3,7.4,7.08,1498.3,7.9,2.9,0.096,0.035,0.6
¢Û,4.6,8.04,10.83,1375.6,5.2,3.64,0.312,0.108,6.58
¢Û,3.8,6.73,12.82,856.8,15.3,4.41,0.025,0.032,1.93
¢Û,6.5,8.05,10.48,1306.2,9.1,4.45,0.034,0.027,1.67
¢Û,6,7.65,10.5,1532.3,11.7,4.72,0.064,0.046,3.21
¢Û,6.3,7.41,8.94,1307.2,2.5,4.32,0.062,0.047,0.93
¢Û,4.9,8.44,13.31,1401.8,5.5,4.56,0.031,0.069,9.45
¢Û,5.4,8.32,9.65,1595.5,3.5,5.3,0.039,0.04,1.63
¢Û,3.6,8.3,12.4,1534.7,22.6,4.61,0.155,0.05,5.78
¢Û,4.1,8.48,13.76,1074.8,3.4,4.52,0.025,0.028,1.37
¢Ú,5.6,8.09,10.28,665,4.3,3.9,0.025,0.05,2.73
¢Ù,4,8.16,7.73,2576,33.3,4.01,0.939,0.208,2.67
¢Û,6.6,8.44,16.11,1938.1,5.9,3.6,0.025,0.144,10.22
¢Û,12,7.87,7.87,2084.5,7,5.44,0.109,0.032,1.49
¢Ú,5,8.16,13.8,1609.7,2.3,3.24,0.034,0.023,13.76
¢Ú,3,8.47,15.64,926.3,9.3,3.31,0.222,0.048,9.67
¢Û,6.9,7.16,13.1,972.1,5.4,4.41,0.261,0.183,8.84
¢Ú,4.3,8.41,12.59,1638.5,5.2,3.89,0.039,0.053,7.99
¢Ú,4.4,7.79,12.7,1190.5,1.9,2.45,0.025,0.033,19.02
¡”¢ı,3.9,9.31,26.42,1131.3,6,7.93,0.044,*,*
¢Û,4.2,8.14,11.24,631.6,4.1,5.66,0.077,*,*
¢Û,5.9,8.68,12.51,930.6,4.6,4.07,0.025,0.059,9.3
¢Û,4.6,8.46,18.5,862.3,12.2,4.94,0.133,0.08,5.68
¢Ú,3.1,7.65,15.96,824.1,7.7,1.66,0.025,0.02,24
¢Ú,4.4,8.01,15.37,851.7,10.3,3.73,0.025,0.054,8.52
¢Ú,4.9,8.26,11.06,508.5,2.9,2.01,0.026,0.018,4.64
¢Ú,2,8.14,14.16,1121.9,39,2.83,0.067,0.034,4.06
¢Û,4,8.1,13.74,2855.1,8.3,4.52,0.422,0.042,5.54
¢Ù,4.7,8.33,11.88,2192.8,14.9,7.24,0.412,0.148,5.64
¢Ú,3.3,8.22,13.04,1583.2,6.8,3.18,0.355,0.096,9.61
¢Ú,0.6,8.82,16.31,1631.2,6.5,3.87,0.025,0.072,9.5
¢Û,5.3,8.58,12.52,3526.6,9,4.12,0.124,0.048,4.32
¢Û,8.3,8.3,12.17,3109.4,3.7,4.69,0.028,0.023,3.5
¢Ú,3.8,8.62,15.41,1424.9,16.6,2.03,0.025,0.014,2.26
¢Ú,3.7,8.06,13.51,1963.8,10.2,3.95,0.319,0.071,9.66
¢Û,3.7,8.13,14.62,1994.7,10.4,3.51,0.522,0.06,11.27
¢Û,2.7,8.6,17.8,2983,19.5,5.42,0.073,0.052,5.07
¢Ú,9.4,7.37,11.56,2504.7,2.3,3.53,0.025,0.038,0.68
¢Ù,4.8,8.45,21.28,898.1,19.7,6.62,0.198,0.133,6.87
¢Ú,5,8.11,10.83,300.3,3.9,1.92,0.196,0.019,0.5
¢Ú,4.2,8.39,12.9,1077.8,5.9,2.94,0.159,0.062,4.74
¢Ú,6.4,8.47,11.99,568.7,9.4,1.3,0.062,0.022,3
¢Ú,5.9,8,13.46,388.5,7.7,1.48,0.046,0.022,7.29
¢Ú,6.5,7.65,11.76,269.7,3.5,2.69,0.025,0.015,2.58
¢Û,8.9,8.56,19.37,663.6,7.8,4.93,0.04,0.091,6.64
¢Ò,5.4,8.03,11.87,546.1,8.7,0.9,0.025,0.005,3.36
¢Ò,5.2,8.24,11.73,631.2,3.3,1.75,0.025,0.013,2.15
¢Ú,7.2,8.21,10.43,462.4,2.8,2.3,0.138,0.005,0.61
¢Ú,7.4,8.15,11.65,425.5,5.5,2.92,0.025,0.021,1.49
¢Ò,7,7.46,12.42,296,4.8,1.89,0.033,0.01,0.09
¢Ò,6,8.56,11.04,655.8,5.3,0.44,0.025,0.005,5.14
¢Ú,5.3,7.69,11.61,965.2,7.8,1.13,0.199,0.036,8.43
¢Ò,6.4,8.02,9.83,433,5.5,0.58,0.025,0.005,1.87
¢Û,4.8,8.24,12.42,1846.2,21.5,3.28,0.62,0.139,10.77
¢Ú,6.7,8.02,11.11,387,7.9,0.51,0.32,0.008,2.83
¢Ò,9.2,8.22,9.99,464.1,1.6,0.56,0.025,0.005,6.91
¢Û,7.4,7.92,11.26,1905.6,10.4,3.27,0.762,0.148,8.92
¢Ò,6.2,7.95,13.06,667.9,12.7,0.9,0.081,0.012,8.53
¢Ú,4.7,7.95,15.68,2324.5,8.7,3.5,0.239,0.071,9.61
¢Û,7.7,7.89,11.05,2669.4,34.8,3.67,0.318,0.149,8.92
¢Ú,5.2,8.04,8.76,1960.4,18.9,3.89,0.14,0.046,5.01
¢Û,5.7,8.34,13.23,1177.3,58.6,5.7,0.781,0.128,2.74
¢Û,7.3,8.16,12.8,1657.4,15.3,4.81,0.025,0.032,4.53
¢Ú,4,8.24,12.52,1052.1,12.7,2.08,0.097,0.035,5.08
¡”¢ı,5.7,7.76,1.25,2423.2,4.2,5.58,0.617,0.041,4.06
¢Û,4.4,8.17,14.53,1598.1,27.4,3.71,0.683,0.12,9.69
¢Û,4.2,8.07,13.12,836.3,16.7,4.02,0.046,0.039,2.49
¢Ò,4.7,7.86,12.86,854,8.6,1.56,0.025,0.017,2.18
¢Ú,4.8,8.64,12.57,1154.5,19.9,2.34,0.122,0.042,4.38
¢Ú,5.7,8.13,12.46,983.7,7.6,1.5,0.025,0.022,5.5
¢Ú,4.5,8.26,13.66,604.7,5.3,2.99,0.1,0.008,0.57
¢Ú,5.3,8.37,13.26,769.8,9.5,1.56,0.095,0.02,3.56
¢Û,9.7,7.71,11.72,1401.8,7.5,2.7,0.193,0.11,8.6
¢Ú,5.8,7.94,12.98,505.1,4.7,2.44,0.08,0.021,3.48
¢Ú,8.3,7.79,10.08,937.3,12.9,3,0.45,0.048,4.98
¢Ú,5.5,8.57,13.87,860.6,7.7,3.02,0.16,0.043,5.91
¢Ò,5.5,8.25,10.78,488.7,2.4,0.56,0.082,0.006,2.09
¢Ò,9.1,8.05,11.22,460.3,1.2,0.49,0.075,0.005,3.46
¢Ò,8.9,7.94,11.41,486.7,16.2,1.18,0.025,0.015,3.39
¢Ò,7.5,8.05,11.96,443.7,0.4,0.32,0.025,0.006,1.54
¢Ú,6.7,8.17,11.94,545.4,4.9,2.1,0.025,0.025,3.32
¢Ú,12.3,8.11,9.58,288,1.9,1.46,0.417,0.009,1.11
¢Ò,11.6,8.18,10.58,291.9,0.8,1.24,0.025,0.005,1.13
¢Ú,6.2,8.47,14.59,377.5,3.1,2.53,0.025,0.021,2.15
¢Ò,7.2,7.38,11.47,691.7,10.6,0.68,0.074,0.01,3.88
¢Ò,4.6,7.5,13.04,263.5,2.4,1.05,0.025,0.005,1.4
¢Ò,10,7.48,9.19,375,2.3,1.8,0.052,0.015,3.12
¢Ò,7.4,8.03,12.83,536,2.3,1.33,0.025,0.007,3.8
¢Û,4.8,8.09,11.96,1946.2,11,4.05,0.025,0.052,6.84
¢Ù,5.4,7.9,11.5,2214.3,24.8,4.02,1.101,0.115,6.98
¢Û,5.2,8.89,14.08,1818.2,6.1,4.79,0.06,0.04,2.97
¢Ú,6.8,8.2,11.18,355.5,3.4,2.24,0.025,0.015,1.14
¢Ú,10.4,7.28,8.49,476.1,95.9,3.73,0.122,0.095,9.22
¢Ú,7.7,7.33,8.08,345.4,28.9,3.37,0.025,0.063,3.18
¢Ò,6,8.07,13.37,260.3,44.4,1.52,0.025,0.016,1.77
¢Ú,8.8,7.32,8.49,185.8,2.2,2.67,0.036,0.008,0.84
¢Ú,8.5,7.52,9.95,117.9,1.6,2.15,0.029,0.009,0.58
¢Ú,18.1,7.61,11.73,2.6,2.6,1.57,0.025,0.052,0.82
¢Ú,7.5,7.38,9.45,279.2,9.1,1.68,0.082,0.024,1.97
¢Û,7.4,7.94,6.27,1121.6,2,4.94,0.09,*,*
¢Û,5.8,8.25,12.96,1172.1,5.1,4.44,0.091,0.068,3.49
¢Ù,5.1,8.3,12.4,1121,38.6,4.12,0.429,0.211,8.18
¢Û,7.8,8.46,16.05,844.4,32.6,5.64,0.22,0.134,5.44
¢Ú,7.5,8.42,12.7,781.1,2.3,3.26,0.039,0.015,1.94
¢Ú,5,8.13,14.04,933.1,10.4,3.52,0.14,0.048,5.96
¢Ù,6.2,8.37,7.88,1648.1,5.5,6.78,0.44,0.032,1.01
¢Û,4.9,8.27,16.66,949.3,4.6,4.17,0.39,0.036,3.9
¢Û,5.3,8.57,13.7,1593.8,16.1,4.97,0.36,0.061,1.54
¢Ù,7,8.62,15.73,929.4,15.2,7.35,0.252,0.141,7.62
¢Ú,5,8.09,14.12,2284.2,3.1,2.99,0.128,0.049,7.94
¢Ú,5.8,7.81,10.07,291,13.3,2.66,0.181,0.01,1.47
¢Ú,8.8,7.61,8.42,317.5,2.7,2.52,0.054,0.012,0.62
¢Ù,6.6,7.84,11.31,1136,19,7.05,1.49,0.202,9.37
¢Ú,7.7,8.32,11.67,993,4.5,1.6,0.025,0.026,3.94
¢Ù,9.2,7.42,10.32,593.4,27.4,5.5,0.699,0.204,4.29
¢Û,7.9,7.96,9.55,314.9,4.6,4.41,0.025,0.034,0.79
¢Ú,7.4,6.76,10.35,186.7,35.8,2.8,0.025,0.024,1.12
¢Ú,7,7.67,10.18,197.8,7.6,2.49,0.025,0.023,0.64
¢Û,7.2,7.61,10.94,185.3,31.5,2.69,0.025,0.028,1.15
¢Û,7.5,7.17,10.58,192.5,29,3.23,0.025,0.03,1.08
¢Ú,8.7,8.19,12.06,387,17,1.9,0.112,0.063,1.55
¢Ú,12.9,8.23,10.1,407.7,42.1,0.98,0.053,0.068,1.53
¢Ù,8.1,7.8,13.14,294.2,13.7,6.49,0.733,0.168,3.76
¢Û,7.8,6.85,12.51,287.3,7.3,5.12,0.289,0.066,3.55
¢Û,7.4,7.84,11.59,263.5,7.4,2.11,0.755,0.069,3.72
¢Ù,7.9,7.44,8.42,367.8,35.4,6.58,0.366,0.04,2.62
¢Ú,7.7,8.05,9.82,874.8,21.2,3.92,0.043,0.063,2.15
¢Û,8,7.56,10.84,531.4,22.4,2.8,0.729,0.073,2.67
¢Ú,13,8.12,9.29,302.4,29.1,0.86,0.027,0.077,1.72
¢Ú,9.5,8.28,10.37,426.9,7.2,3.94,0.171,0.057,1.01
¢Ò,11.4,8.03,9.69,325.7,2.2,1.16,0.027,0.008,1.65
¢Ú,7.4,8.12,10.16,499.4,4.5,1.52,0.182,0.039,2.16
¢Ú,8.5,7.64,6.03,327,1.6,1.27,0.047,0.01,0.77
¢Ú,8.7,7.42,6.17,685.8,0.7,2.14,0.23,0.044,4.06
¢Û,6.7,7.54,10.72,327.1,4.9,1.51,0.517,0.029,3.15
¢Ú,12.1,7.63,7.99,282.3,6.2,2.18,0.068,0.024,1.26
¢Ú,9.8,7.84,10.08,264.8,6.4,1.77,0.08,0.028,1.42
¢Ò,13.2,7.67,7.72,230.9,1.8,0.83,0.025,0.005,0.95
¢Ò,11.9,7.55,9.24,256,11.6,1.5,0.07,0.013,1.36
¢Ú,7.3,7.38,9.11,622.5,1.6,1.37,0.046,0.047,3.73
¢Ù,13.4,7.55,10.92,676.1,22.1,4.9,0.602,0.236,11.95
¢Ò,7,8.04,10.47,466.4,4.5,0.58,0.03,0.01,1.61
¢Ò,13.1,7.81,8.16,249.1,1.2,0.69,0.025,0.008,2
¢Ú,16,7.7,8.56,365.2,10.4,1.04,0.025,0.057,1.55
¢Ò,12.9,7.75,9.08,283.8,4.6,0.77,0.025,0.013,1.98
¢Ú,17.1,7.79,8.3,395.9,3.1,0.7,0.025,0.037,1.43
¢Ò,9.1,7.93,10.88,380.1,1.5,1.36,0.1,0.016,1.58
¢Ú,8.6,7.71,10.93,715,20.7,3.84,0.103,0.029,3.76
¢Ò,14.1,8.14,8.62,275.2,1.3,0.78,0.025,0.005,2.14
¢Ò,9.1,7.72,10.81,334.2,5.1,1.89,0.025,0.005,1.04
¢Ú,14.9,7.8,8.83,391.9,16.9,1.18,0.025,0.046,1.54
¢Û,6.2,7.67,10.23,614.5,68.5,5.14,0.208,0.066,5.53
¢Û,5.4,8.36,13.2,586.4,65.3,5.49,0.105,0.088,6.02
¢Ú,6,8.03,12.63,533.4,7.8,2.79,0.101,0.046,4.29
¢Ò,10.7,8.36,11.08,310.8,5.1,1.85,0.037,0.019,1.24
¢Ò,13.6,7.98,11.14,307.1,2.9,1.41,0.047,0.02,1.59
¢Ú,8.4,8.24,12.02,414.7,9.4,1.91,0.073,0.029,1.44
¢Ù,6.9,8.77,13.97,846.5,16.9,6,0.182,0.058,4.4
¢Ú,12.5,7.79,9.65,303.4,9.3,1.51,0.025,0.047,1.42
¢Ú,8.1,8.09,11.63,1203,9.5,1.67,0.096,0.06,1.54
¢Ò,10.2,7.62,10.46,481.5,1.1,0.99,0.03,0.005,2.89
¢Ò,9.9,7.96,9.64,307,7.4,1.21,0.031,0.006,0.41
¢Ú,9.1,8.05,11.94,325.6,5.6,1.45,0.025,0.028,1.63
¢Ú,9.4,7.76,11.66,321.6,5.4,3.5,0.025,0.025,1.69
¢Û,7.7,8.23,11.11,632.9,6.3,4.25,0.025,0.023,2.24
¢Ò,7.5,8.41,12.18,267.5,2.8,1.58,0.025,0.008,0.25
¢Ú,6.7,8.43,10.81,510.1,1.5,1.32,0.025,0.021,0.66
¢Ú,9.3,7.93,9.63,487.1,7.9,2.57,0.144,0.055,2.09
¢Û,6.3,7.97,11.22,388.9,1.5,4.25,0.097,0.024,3.12
¢Ú,9.4,8.09,9.76,456.1,4.1,2.94,0.067,0.034,2.63
¢Ú,6.7,8.02,10.63,308.4,6.1,2.48,0.025,0.013,0.35
¢Ú,7.7,8.03,12.24,455.7,2.6,2.49,0.031,0.011,0.18
¢Ù,8.3,8.46,13.17,597.9,9.1,6.4,0.167,0.054,1.67
¢Û,8.4,7.62,10.62,464.1,20.8,4.61,0.249,0.033,2.78
¢Ù,7.8,7.76,9.57,491.1,68.2,7.28,0.102,0.093,1.84
¢Ù,7.3,8.29,11,431.8,83.3,7.27,0.13,0.095,2.84
¢Ú,11.4,8.27,11.47,356.8,3.1,0.77,0.025,0.036,1.73
¢Ú,8.6,8.17,11.12,433.5,36.5,3.11,0.025,0.055,2.58
¢Ú,10,7.81,10.78,710.9,13.7,2.57,0.097,0.032,1.18
¢Ú,9,8.24,11.73,542.3,4.8,3.51,0.037,0.025,0.67
¢Û,7.6,7.48,8.98,496.1,9.9,4.33,0.26,0.13,2.51
¢Ú,12.4,8.21,9.94,394.5,11.2,1.42,0.025,0.056,1.54
¢Ú,9.5,7.93,10.44,346.2,19.1,1.83,0.025,0.029,1.45
¢Ú,11.3,8.07,9.98,375.8,5.9,1.07,0.025,0.046,1.47
¢Ú,15.3,8.1,9.52,390.3,4.7,1.33,0.025,0.047,1.36
¢Ò,5.2,6.92,8.31,148.5,0.7,1.15,0.025,*,*
¢Ò,5.3,7.87,12.67,261.7,1.6,1.79,0.025,*,*
¢Ú,10,7.38,9.5,127.6,1.5,0.72,0.025,0.021,0.78
¢Ú,8.3,7.13,9.87,177.8,30,2.15,0.468,0.072,0.72
¢Û,6.9,6.92,11.53,204.6,65.2,4.15,0.132,0.153,1.94
¢Û,8.4,7.35,11.39,223.7,43.5,4.03,0.534,0.11,2.69
¢Û,12.6,7.78,9.29,372.4,30.3,1.98,0.029,0.107,1.64
¢Û,7.6,8.12,10.37,339.6,3.8,4.01,0.025,0.029,1.07
¢Ú,11.8,7.33,8.09,238.5,1.1,1.7,0.234,0.005,0.66
¢Û,8.9,7.99,10.9,307.4,5.5,4.09,0.394,0.047,1.72
¢Û,7,6.9,10.56,709.1,1.5,3.82,0.679,0.18,2.77
¢Ú,6.7,8.09,13.16,357.1,5,3.22,0.072,0.018,1.07
¢Ò,9,8.07,11.52,292.6,6.4,0.32,0.025,0.01,1.04
¢Û,10.2,7.5,7.52,478.4,10.1,1.32,0.025,0.15,3.92
¢Ú,9.4,8.34,11.27,654.2,34.7,1.62,0.025,0.061,5.02
¢Ò,12.4,7.74,8.78,277.8,5.2,0.95,0.025,0.009,1.28
¢Ú,14.4,7.35,7.81,292,1.3,0.69,0.025,0.023,0.93
¢Ò,11.6,8.01,10.23,303.3,3.5,0.94,0.025,0.013,0.82
¢Ú,16.1,7.91,8.9,420.2,18.4,1.12,0.025,0.038,1.41
¢Ò,7.6,7.98,8.73,271,4.1,0.63,0.056,0.005,0.89
¢Ò,8.9,8.19,11.05,324.2,9.4,1.39,0.075,0.016,1.59
¢Ò,8.7,7.94,11.67,422.6,8,1.29,0.083,0.012,0.7
¢Ú,8.8,7.96,10.12,434.4,7.6,3.45,0.07,0.053,1.06
